

0.421 (+/-0.548) for {'epochs': 5, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.297) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.297) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.421 (+/-0.193) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.421 (+/-0.193) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.149) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.269 (+/-0.094) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.259 (+/-0.378) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.347 (+/-0.039) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.338 (+/-0.301) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.287) for {'epochs': 5, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.431 (+/-0.329) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.606 (+/-0.426) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.352 (+/-0.228) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.463 (+/-0.052) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.149) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.389 (+/-0.395) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.421 (+/-0.193) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.426 (+/-0.139) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.301 (+/-0.265) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.356 (+/-0.525) for {'epochs': 6, 'learning_rate': 2e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.495 (+/-0.401) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.574 (+/-0.292) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.384 (+/-0.272) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.662 (+/-0.352) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.269 (+/-0.454) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.500 (+/-0.091) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.347 (+/-0.186) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.231 (+/-0.364) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.417 (+/-0.360) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.417 (+/-0.360) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.421 (+/-0.193) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 18, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.421 (+/-0.193) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.149) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.269 (+/-0.273) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.227 (+/-0.170) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 6}
0.426 (+/-0.139) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 1, 'train_batch_size': 6}
0.264 (+/-0.196) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.273 (+/-0.390) for {'epochs': 6, 'learning_rate': 5e-06, 'num_mlp_hiddens': 22, 'num_mlp_layers': 2, 'train_batch_size': 6}

Best score: 0.6620370370370371 with params: {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}


0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 1.5e-05, 'num_mlp_hiddens': 19, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.495 (+/-0.249) for {'epochs': 6, 'learning_rate': 1.5e-05, 'num_mlp_hiddens': 19, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.616 (+/-0.092) for {'epochs': 6, 'learning_rate': 1.5e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.306 (+/-0.371) for {'epochs': 6, 'learning_rate': 1.5e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.495 (+/-0.401) for {'epochs': 6, 'learning_rate': 1.5e-05, 'num_mlp_hiddens': 21, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.149) for {'epochs': 6, 'learning_rate': 1.5e-05, 'num_mlp_hiddens': 21, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 19, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.495 (+/-0.249) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 19, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.662 (+/-0.352) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.269 (+/-0.454) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.458 (+/-0.149) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 21, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.421 (+/-0.065) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 21, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 8e-06, 'num_mlp_hiddens': 19, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.421 (+/-0.193) for {'epochs': 6, 'learning_rate': 8e-06, 'num_mlp_hiddens': 19, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.588 (+/-0.445) for {'epochs': 6, 'learning_rate': 8e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.269 (+/-0.273) for {'epochs': 6, 'learning_rate': 8e-06, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.463 (+/-0.367) for {'epochs': 6, 'learning_rate': 8e-06, 'num_mlp_hiddens': 21, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 8e-06, 'num_mlp_hiddens': 21, 'num_mlp_layers': 2, 'train_batch_size': 5}

Best score: 0.6620370370370371 with params: {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
