

0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.394 (+/-0.340) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.389 (+/-0.157) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.384 (+/-0.272) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.343 (+/-0.159) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.468 (+/-0.240) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.616 (+/-0.272) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.273 (+/-0.144) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.421 (+/-0.369) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.426 (+/-0.466) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.380 (+/-0.258) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.463 (+/-0.367) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.421 (+/-0.193) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.343 (+/-0.159) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.468 (+/-0.240) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.662 (+/-0.352) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.352 (+/-0.228) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.269 (+/-0.454) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 6, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.384 (+/-0.092) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.384 (+/-0.092) for {'epochs': 7, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.394 (+/-0.340) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.463 (+/-0.189) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.468 (+/-0.240) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.454 (+/-0.340) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.421 (+/-0.369) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.394 (+/-0.340) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.421 (+/-0.548) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.356 (+/-0.421) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.458 (+/-0.149) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.389 (+/-0.395) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.375 (+/-0.446) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.505 (+/-0.249) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.380 (+/-0.258) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.509 (+/-0.436) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.616 (+/-0.272) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.421 (+/-0.193) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 7, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.269 (+/-0.094) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.352 (+/-0.228) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.343 (+/-0.302) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.458 (+/-0.149) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.343 (+/-0.159) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.347 (+/-0.039) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.306 (+/-0.198) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.352 (+/-0.228) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.343 (+/-0.159) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.343 (+/-0.302) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 8, 'learning_rate': 0.0001, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.463 (+/-0.189) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.287) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.431 (+/-0.455) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.463 (+/-0.052) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.426 (+/-0.139) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.495 (+/-0.249) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.384 (+/-0.092) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.500 (+/-0.091) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.426 (+/-0.292) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.542 (+/-0.149) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.231 (+/-0.183) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.389 (+/-0.395) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.306 (+/-0.079) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.306 (+/-0.079) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.306 (+/-0.079) for {'epochs': 8, 'learning_rate': 1e-05, 'num_mlp_hiddens': 20, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 4}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 2, 'train_batch_size': 5}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 4}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 15, 'num_mlp_layers': 3, 'train_batch_size': 5}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 3}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 4}
0.347 (+/-0.039) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 1, 'train_batch_size': 5}
0.269 (+/-0.094) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 3}
0.310 (+/-0.129) for {'epochs': 9, 'learning_rate': 0.0005, 'num_mlp_hiddens': 20, 'num_mlp_layers': 2, 'train_batch_size': 4}
